央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226016/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1#http://207.56.13.146:81/cdnlive/cctv1.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/1/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225588/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2#http://207.56.13.146:81/cdnlive/cctv2.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/2/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226021/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3#http://207.56.13.146:81/cdnlive/cctv3.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/3/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226428/index.m3u8?#http://39.135.133.167/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4#http://207.56.13.146:81/cdnlive/cctv4.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/4/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226019/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5#http://207.56.13.146:81/cdnlive/cctv5.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/5/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225603/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p#http://207.56.13.146:81/cdnlive/cctv5p.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/18/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226010/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6#http://207.56.13.146:81/cdnlive/cctv6.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/6/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225733/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7#http://207.56.13.146:81/cdnlive/cctv7.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/7/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221226008/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8#http://207.56.13.146:81/cdnlive/cctv8.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/8/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.134.64.179:6610/PLTV/88888888/224/3221225734/index.m3u8?#http://39.135.133.176/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8?#https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9#http://207.56.13.146:81/cdnlive/cctv9.m3u8#http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009#http://111.43.126.240:9003/hls/9/index.m3u8
